input,match,property_id,latitude,longitude,search_url,image_url
634 CLARENCE AVE,634 Clarence Ave,13249790,41.8767696,-87.7901783,/IL/Oak-Park/634-Clarence-Ave-60304/home/13249790,['https://ssl.cdn-redfin.com/photo/68/mbphoto/805/genMid.10677805_0.jpg']
1007 WESLEY AVE,1007 Wesley Ave,13248042,41.8703622,-87.7917615,/IL/Oak-Park/1007-Wesley-Ave-60304/home/13248042,['https://ssl.cdn-redfin.com/photo/68/mbphoto/678/genMid.07620678_3.jpg']
1121 S OAK PARK AV #3,1121 S Oak Park Ave #3,12632162,41.86799,-87.7941523,/IL/Oak-Park/1121-S-Oak-Park-Ave-60304/unit-3/home/12632162,['https://ssl.cdn-redfin.com/photo/68/mbphoto/531/genMid.12122531_0.jpg']
7050 ROOSEVELT RD,,,,,,
939 S KENILWORTH,939 S Kenilworth Ave,13247024,41.8710069,-87.7968285,/IL/Oak-Park/939-S-Kenilworth-Ave-60304/home/13247024,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=939+S+Kenilworth+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=ia8MQOwePp2tsVxtGjrgDmxemAk=']
530 S EAST AV,530 S East Ave,13250269,41.8786078,-87.7890336,/IL/Oak-Park/530-S-East-Ave-60304/home/13250269,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=530+S+East+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=ioWu1PAgUxLupt6HyDkuAwaXoEE=']
1177 HOME  AVE,1177 Home Ave,13247732,41.8658138,-87.7992912,/IL/Oak-Park/1177-Home-Ave-60304/home/13247732,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=41.8658138%2C-87.7992912&size=665x441&source=outdoor&client=gme-redfin&signature=zjvRNVWiQ2jhZ9YUDGUO3Zeg5UI=']
1007 S OAK PARK AV #B,1007 S Oak Park Ave Unit B,12697542,41.8703712,-87.7942587,/IL/Oak-Park/1007-S-Oak-Park-Ave-60304/unit-B/home/12697542,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1007+S+Oak+Park+Ave+Unit+B%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=FsFTFT2ieRXdBEFWqTuByh95N8A=']
621 S EAST AVE,621 S East Ave,12577592,41.8771922,-87.7895543,/IL/Oak-Park/621-S-East-Ave-60304/home/12577592,['https://ssl.cdn-redfin.com/photo/68/mbphoto/526/genMid.07909526_2.jpg']
809 S LYMAN,809 Lyman Ave,13250186,41.8740928,-87.7771581,/IL/Oak-Park/809-Lyman-Ave-60304/home/13250186,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=809+Lyman+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=WRlx1SnfRmDNmxtACNe5f1axY6Y=']
810 S ELMWOOD AV,810 S Elmwood Ave,13247034,41.8739511,-87.7852139,/IL/Oak-Park/810-S-Elmwood-Ave-60304/home/13247034,['https://ssl.cdn-redfin.com/photo/68/mbphoto/024/genMid.08280024_2.jpg']
1174 S WENONAH,1174 Wenonah Ave,13248513,41.8659187,-87.8001361,/IL/Oak-Park/1174-Wenonah-Ave-60304/home/13248513,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1174+Wenonah+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=rPnOCm8KW9J4NqYejLu59TEkDG4=']
727 S MAPLE AVE  301,727 S Maple Ave #301,13249895,41.8757826,-87.8041598,/IL/Oak-Park/727-S-Maple-Ave-60304/unit-301/home/13249895,['https://ssl.cdn-redfin.com/photo/68/mbphoto/802/genMid.09116802_2.jpg']
813 HOME AVE,813 Home Ave,13248663,41.8748797,-87.7999853,/IL/Oak-Park/813-Home-Ave-60304/home/13248663,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=813+Home+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=Ib4LT3zzKSP3C9QTc8TIZHbS_dY=']
1110 S SCOVILLE AVE,1110 S Scoville Ave,13248552,41.8684371,-87.787492,/IL/Oak-Park/1110-S-Scoville-Ave-60304/home/13248552,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1110+S+Scoville+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=Tu5-bzQu9-PfHVTV148UCjcy1sQ=']
1177 S ELMWOOD AVE,1177 S Elmwood Ave,13245643,41.8660224,-87.7854874,/IL/Oak-Park/1177-S-Elmwood-Ave-60304/home/13245643,['https://ssl.cdn-redfin.com/photo/68/mbphoto/650/genMid.09308650_2.jpg']
517 CLARENCE,517 Clarence Ave,13249871,41.8790895,-87.7908436,/IL/Oak-Park/517-Clarence-Ave-60304/home/13249871,['https://ssl.cdn-redfin.com/photo/68/mbphoto/987/genMid.08601987_2.jpg']
1534 HUNTLEIGH DRIVE,,,,,,
533 HOME AV,533 Home Ave,13250016,41.8785372,-87.80009,/IL/Oak-Park/533-Home-Ave-60304/home/13250016,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=533+Home+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=qU3Kf1KSs4OJa8-_A5_UUqGbExc=']
934 WENONAH AVE,934 Wenonah Ave,13247513,41.8711024,-87.8003061,/IL/Oak-Park/934-Wenonah-Ave-60304/home/13247513,['https://ssl.cdn-redfin.com/photo/68/mbphoto/107/genMid.08616107_0.jpg']
920 WESLEY AVE APT 3,920 Wesley Ave #3,12725266,41.8715845,-87.7912507,/IL/Oak-Park/920-Wesley-Ave-60304/unit-3/home/12725266,['https://ssl.cdn-redfin.com/photo/68/mbphoto/539/genMid.09363539_2.jpg']
1118 S HOME AVE,1118 Home Ave,13247452,41.86798,-87.7987609,/IL/Oak-Park/1118-Home-Ave-60304/home/13247452,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1118+Home+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=a7ijlt0LwG-ZyMJI83eFMCXjwpo=']
807 S TAYLOR AV,807 S Taylor Ave,13250189,41.8741504,-87.7783641,/IL/Oak-Park/807-S-Taylor-Ave-60304/home/13250189,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=807+S+Taylor+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=UHmnPnakqMED69l1VowXwcC9apo=']
740 S LOMBARD AV,740 S Lombard Ave,13252076,41.8748706,-87.7790572,/IL/Oak-Park/740-S-Lombard-Ave-60304/home/13252076,['https://ssl.cdn-redfin.com/photo/68/mbphoto/445/genMid.11355445_0.jpg']
531S CLARENCE AV,,,,,,
2271 W MALVERN AVE 411,,,,,,
937 S WESLEY AV,937 Wesley Ave,13247932,41.8711348,-87.7918124,/IL/Oak-Park/937-Wesley-Ave-60304/home/13247932,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=937+Wesley+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=i-IMnbJcnS_l6aHzTJtyX5uha74=']
913 S HIGHLAND,913 Highland Ave,13250899,41.87215,-87.782089,/IL/Oak-Park/913-Highland-Ave-60304/home/13250899,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=913+Highland+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=pFQG6OQ_Nh4cKm0c2klNAc-BQWw=']
