input,match,property_id,latitude,longitude,search_url,image_url,home_value,home_type,year_built,lot_size,price,beds,baths,sqft
726 S GROVE AVE,726 S Grove Ave,13248762,41.8751367,-87.7950359,/IL/Oak-Park/726-S-Grove-Ave-60304/home/13248762,['https://ssl.cdn-redfin.com/photo/68/mbphoto/658/genMid.08644658_2.jpg'],585000.0,Single-family,1911,6250.0,585000.0,3.0,4.0,1900.0
728 S HUMPHREY AV,728 S Humphrey Ave,13250847,41.8753185,-87.7754401,/IL/Oak-Park/728-S-Humphrey-Ave-60304/home/13250847,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=728+S+Humphrey+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=BacE2Md19gNSbjVgn9qGEQoBBoM='],,Single-family,1907,4270.0,,3.0,1.5,1545.0
612 S OAK PK AVE,612 S Kenilworth Ave,13249915,41.8777963,-87.7969926,/IL/Oak-Park/612-S-Kenilworth-Ave-60304/home/13249915,['https://ssl.cdn-redfin.com/photo/68/mbphoto/817/genMid.09704817_2.jpg'],579000.0,Single-family,1910,5625.0,579000.0,4.0,1.5,1949.0
1040 S TAYLOR,1040 S Taylor Ave,13251489,41.8692376,-87.7776719,/IL/Oak-Park/1040-S-Taylor-Ave-60304/home/13251489,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1040+S+Taylor+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=EsgGLnDUgxGOMIKHaSt8-Q-iwTw='],,Single-family,1905,6300.0,,4.0,2.0,1794.0
847 S HUMPHREY #1,847 S Humphrey Ave #1,12659015,41.872904,-87.775986,/IL/Oak-Park/847-S-Humphrey-Ave-60304/unit-1/home/12659015,['https://ssl.cdn-redfin.com/photo/68/mbphoto/634/genMid.10858634_0.jpg'],165000.0,,,,,,,
1185 S EAST AVE,1185 S East Ave,13247041,41.8657417,-87.789142,/IL/Oak-Park/1185-S-East-Ave-60304/home/13247041,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1185+S+East+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=405-txUPgl_aWizOBeg4Px3UQZo='],,Single-family,1923,3150.0,,2.0,1.0,1064.0
646 ADAMS #GW,646 Adams St Unit GW,12613208,41.8781119,-87.7914527,/IL/Oak-Park/646-Adams-St-60304/unit-GW/home/12613208,['https://ssl.cdn-redfin.com/photo/68/mbphoto/333/genMid.11117333_1.jpg'],140000.0,,,,,,,
804 S LYMAN,804 Lyman Ave,13250913,41.8742971,-87.7766495,/IL/Oak-Park/804-Lyman-Ave-60304/home/13250913,['https://ssl.cdn-redfin.com/photo/68/mbphoto/619/genMid.08346619_2.jpg'],412500.0,Single-family,1913,4725.0,412500.0,4.0,2.0,1800.0
1122 WISCONSIN AVE,1122 Wisconsin Ave,144506460,41.8677792,-87.8015742,/IL/Oak-Park/1122-Wisconsin-Ave-60304/home/144506460,['https://ssl.cdn-redfin.com/photo/68/mbphoto/891/genMid.10432891_0.jpg'],871000.0,,,,,,,
645 FULLERTON PKWY,,-1,,,,,,,,,,,,
929 S GROVE AVE,929 S Grove Ave,13247021,41.871342,-87.7955656,/IL/Oak-Park/929-S-Grove-Ave-60304/home/13247021,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=929+S+Grove+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=2ta-VrvWW9ldifc3grCi_8V0c24='],429500.0,Single-family,1918,5137.0,,4.0,2.0,1563.0
1159 S WISCONSIN,1159 Wisconsin Ave,13247552,41.8664348,-87.8021273,/IL/Oak-Park/1159-Wisconsin-Ave-60304/home/13247552,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1159+Wisconsin+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=MLqFiD67bvDq88-T2WjQY3NzaJo='],167000.0,Single-family,1941,5130.0,,3.0,1.5,1545.0
516 WENONAH AV,516 Wenonah Ave,13249937,41.878977,-87.8007479,/IL/Oak-Park/516-Wenonah-Ave-60304/home/13249937,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=516+Wenonah+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=Pc1ozrL1R-HeCZ2W3_BCiBHJRMo='],62000.0,Single-family,1913,6250.0,,2.0,2.5,1801.0
809 HOME AVE,809 Home Ave,13249887,41.8749889,-87.79999,/IL/Oak-Park/809-Home-Ave-60304/home/13249887,['https://ssl.cdn-redfin.com/photo/68/mbphoto/943/genMid.10496943_1.jpg'],1100000.0,Single-family,2016,6250.0,,6.0,4.5,4291.0
506 S ELMWOOD AVE,506 S Elmwood Ave,13248901,41.8795558,-87.7854028,/IL/Oak-Park/506-S-Elmwood-Ave-60304/home/13248901,['https://ssl.cdn-redfin.com/photo/68/mbphoto/405/genMid.09270405_2.jpg'],470000.0,Single-family,1910,5320.0,470000.0,5.0,2.5,2586.0
825 S LYMAN AV,825 Lyman Ave,13250433,41.8735411,-87.7772071,/IL/Oak-Park/825-Lyman-Ave-60304/home/13250433,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=825+Lyman+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=zcCuXzUIQVKw0bfSDQBBhQmfblU='],410000.0,Single-family,1917,4880.0,,3.0,1.5,1648.0
805 SCOVILLE AV,805 S Scoville Ave,13247527,41.874092,-87.7882099,/IL/Oak-Park/805-S-Scoville-Ave-60304/home/13247527,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=805+S+Scoville+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=ybki-Ogw274SawiADr89UsCBFWE='],242500.0,Single-family,1908,6300.0,,4.0,1.5,1542.0
1104 S LYMAN AVE,1104 Lyman Ave,13250657,41.8688538,-87.7764831,/IL/Oak-Park/1104-Lyman-Ave-60304/home/13250657,['https://ssl.cdn-redfin.com/photo/68/mbphoto/429/genMid.07288429_4.jpg'],280500.0,Single-family,1926,4410.0,280500.0,2.0,1.0,1216.0
938 S EUCLID AVE,938 S Euclid Ave,13247395,41.8711078,-87.7924628,/IL/Oak-Park/938-S-Euclid-Ave-60304/home/13247395,['https://ssl.cdn-redfin.com/photo/68/mbphoto/006/genMid.09588006_2.jpg'],649000.0,Single-family,1918,3654.0,649000.0,4.0,3.5,3137.0
347 83RD ST,,-1,,,,,,,,,,,,
742 S GUNDERSON,742 Gunderson Ave,13249841,41.8747133,-87.7864709,/IL/Oak-Park/742-Gunderson-Ave-60304/home/13249841,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=742+Gunderson+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=xNW_C6okSRCF5ULtlKE-ZYNRJGQ='],380000.0,Single-family,1908,5320.0,,4.0,1.5,1990.0
1146 S RIDGELAND AVE,1146 S Ridgeland Ave,13251123,41.867344,-87.7837439,/IL/Oak-Park/1146-S-Ridgeland-Ave-60304/home/13251123,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1146+S+Ridgeland+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=wm_lR0lWv7QK23NMTlYWUG4GnaY='],,Single-family,1921,3150.0,,3.0,1.5,1260.0
300 WILMOT RD,,-1,,,,,,,,,,,,
815 S KENILWORTH AVE,815 S Kenilworth Ave,13248742,41.8748925,-87.7975017,/IL/Oak-Park/815-S-Kenilworth-Ave-60304/home/13248742,['https://ssl.cdn-redfin.com/photo/68/mbphoto/570/genMid.09859570_B.jpg'],480000.0,Single-family,1912,7500.0,480000.0,4.0,1.5,1979.0
818 GUNDERSON AVE,818 Gunderson Ave,13248075,41.8737168,-87.7863721,/IL/Oak-Park/818-Gunderson-Ave-60304/home/13248075,['https://ssl.cdn-redfin.com/photo/68/mbphoto/995/genMid.10966995_0.jpg'],775000.0,Single-family,1913,6543.0,775000.0,4.0,2.5,2046.0
820 HIGHLAND AVE,820 Highland Ave,13250977,41.8736945,-87.7815406,/IL/Oak-Park/820-Highland-Ave-60304/home/13250977,['https://ssl.cdn-redfin.com/photo/68/mbphoto/356/genMid.08938356_2.jpg'],285000.0,Single-family,1915,3750.0,285000.0,3.0,2.0,1300.0
808 S AUSTIN BLVD,808 S Austin Blvd,13250675,41.8700632,-87.7746852,/IL/Oak-Park/808-S-Austin-Blvd-60304/home/13250675,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=808+S+Austin+Blvd%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=oYxrVrAcBoJZnG0YOZ_okoyvoh8='],,Single-family,1937,6016.0,,4.0,2.5,1897.0
922 S MAPLE,922 S Maple Ave,13247608,41.871415,-87.8032795,/IL/Oak-Park/922-S-Maple-Ave-60304/home/13247608,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=922+S+Maple+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=onCdqLKgoIYd184I05Ho68__6hU='],88500.0,Single-family,1900,5666.0,,4.0,1.0,1237.0
29 WHITFIELD ST,,-1,,,,,,,,,,,,
746 S HUMPHREY AVE,746 S Humphrey Ave,13250152,41.8747415,-87.775379,/IL/Oak-Park/746-S-Humphrey-Ave-60304/home/13250152,['https://ssl.cdn-redfin.com/photo/68/mbphoto/027/genMid.08658027_3.jpg'],168000.0,Single-family,1918,4612.0,447500.0,5.0,3.0,1562.0
1019 S SCOVILLE AVE,1019 S Scoville Ave,13248143,41.8700587,-87.788073,/IL/Oak-Park/1019-S-Scoville-Ave-60304/home/13248143,['https://ssl.cdn-redfin.com/photo/68/mbphoto/164/genMid.10789164_5.jpg'],674000.0,3 parking spaces,1903,4725.0,630000.0,4.0,3.5,3300.0
1129 S SCOVILLE AVE,1129 S Scoville Ave,13247688,41.8678856,-87.7879962,/IL/Oak-Park/1129-S-Scoville-Ave-60304/home/13247688,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1129+S+Scoville+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=Kb-J86vG0L31J45mbkPxlsY0cuo='],,Single-family,1907,3150.0,,3.0,1.0,1102.0
616 S SCOVILLE ST,,-1,,,,,,,,,,,,
1182 S KENILWORTH,1182 S Kenilworth Ave,13248567,41.865734,-87.7961091,/IL/Oak-Park/1182-S-Kenilworth-Ave-60304/home/13248567,['https://ssl.cdn-redfin.com/photo/68/mbphoto/058/genMid.11948058_0.jpg'],480000.0,Single-family,1925,3425.0,480000.0,3.0,2.5,1925.0
1158 S GUNDERSON AV,1158 Gunderson Ave,13246988,41.8666875,-87.7861903,/IL/Oak-Park/1158-Gunderson-Ave-60304/home/13246988,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=41.8666875%2C-87.7861903&size=665x441&source=outdoor&client=gme-redfin&signature=LVokNWdhd6H6f42GFpcmjFVh0XE='],,Single-family,1923,4410.0,,3.0,2.5,1580.0
1146 S OAK PARK AV,1146 S Oak Park Ave,13248396,41.8671364,-87.7935004,/IL/Oak-Park/1146-S-Oak-Park-Ave-60304/home/13248396,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1146+S+Oak+Park+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=iBdDKXHoACGGbM1CcxusyEfSwbg='],110000.0,Single-family,1922,4375.0,,3.0,2.0,1940.0
1134 GUNDERSON AVE,1134 Gunderson Ave,13247683,41.8676768,-87.7862179,/IL/Oak-Park/1134-Gunderson-Ave-60304/home/13247683,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1134+Gunderson+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=X-JMuMJBV5P5n2Yz0IBgvlnJxAo='],265000.0,Single-family,1923,3717.0,,3.0,1.5,1236.0
1016 S RIDGELAND AV,1016 S Ridgeland Ave,13251226,41.8701765,-87.7838209,/IL/Oak-Park/1016-S-Ridgeland-Ave-60304/home/13251226,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1016+S+Ridgeland+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=8yelRZgxPWdH_CgY-_yIVg98RN0='],249000.0,Single-family,1912,3780.0,,3.0,2.0,1380.0
601 S GROVE AV,601 S Grove Ave,13249170,41.8781898,-87.7956556,/IL/Oak-Park/601-S-Grove-Ave-60304/home/13249170,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=601+S+Grove+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=4kkP-eESoueALwzqU4HEmN9ug30='],425000.0,Single-family,1920,4950.0,,4.0,2.0,2121.0
609 WESLEY AVE,609 Wesley Ave,13249109,41.8775702,-87.7920145,/IL/Oak-Park/609-Wesley-Ave-60304/home/13249109,['https://ssl.cdn-redfin.com/photo/68/mbphoto/657/genMid.10491657_0.jpg'],457000.0,Single-family,1913,6300.0,457000.0,4.0,2.5,1922.0
639 S ELMWOOD AVE,639 S Elmwood Ave,13249500,41.876623,-87.7858648,/IL/Oak-Park/639-S-Elmwood-Ave-60304/home/13249500,['https://ssl.cdn-redfin.com/photo/68/mbphoto/578/genMid.09164578_5.jpg'],715500.0,Single-family,1915,7980.0,715500.0,5.0,2.0,
933 EUCLID AV,933 N Euclid Ave,13273513,41.9029338,-87.7940122,/IL/Oak-Park/933-N-Euclid-Ave-60302/home/13273513,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=933+N+Euclid+Ave%2C+Oak+Park%2C+IL+60302&size=665x441&source=outdoor&client=gme-redfin&signature=_TKvxD_xFaaFHEGxAnMEk4yq1TM='],308000.0,Single-family,1923,6200.0,,4.0,2.5,2104.0
535 HIGHLAND AV,535 Highland Ave,13253017,41.8785662,-87.7821948,/IL/Oak-Park/535-Highland-Ave-60304/home/13253017,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=535+Highland+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=QAoJxdJxaDRU6PG5ySHzRYN3fiU='],232500.0,Single-family,1913,4199.0,,4.0,2.5,1544.0
515 CLINTON AVE,515 Clinton Ave,13249406,41.8791107,-87.7990991,/IL/Oak-Park/515-Clinton-Ave-60304/home/13249406,['https://ssl.cdn-redfin.com/photo/68/mbphoto/531/genMid.09916531_A.jpg'],102000.0,Single-family,1914,8999.0,592000.0,5.0,3.5,2800.0
714 S ELMWOOD AVE,714 S Elmwood Ave,13249679,41.87566497943234,-87.78528963497536,/IL/Oak-Park/714-S-Elmwood-Ave-60304/home/13249679,['https://ssl.cdn-redfin.com/photo/68/mbphoto/811/genMid.07212811_A.jpg'],605500.0,Single-family,1904,5320.0,,5.0,3.5,2702.0
